f1,f2
538.330078125,306.84814453125
968.994140625,516.796875
1248.92578125,667.529296875
1399.658203125,624.462890625
1055.126953125,592.1630859375
1119.7265625,613.6962890625
1141.259765625,457.58056640625
1141.259765625,387.59765625
1162.79296875,656.7626953125
1162.79296875,624.462890625
1162.79296875,592.1630859375
861.328125,1970.2880859375
904.39453125,355.2978515625
1248.92578125,1830.322265625
1012.060546875,694.44580078125
1055.126953125,581.396484375
1055.126953125,419.8974609375
1055.126953125,581.396484375
1162.79296875,737.51220703125
1227.392578125,516.796875
1055.126953125,538.330078125
1227.392578125,570.6298828125
1421.19140625,645.99609375
1399.658203125,645.99609375
1033.59375,554.47998046875
947.4609375,495.263671875
1141.259765625,484.4970703125
1184.326171875,656.7626953125
1098.193359375,549.0966796875
1162.79296875,656.7626953125
1055.126953125,586.77978515625
689.0625,317.61474609375
1076.66015625,382.21435546875
968.994140625,500.64697265625
1162.79296875,570.6298828125
1141.259765625,554.47998046875
